sample,group,short_reads_1,short_reads_2,longs_reads
ERR1560022,ERS1286107,ERR1560022.fastq.gz,,
ERR1560023,ERS1286108,ERR1560023.fastq.gz,,
ERR1560024,ERS1286109,ERR1560024.fastq.gz,,
ERR1560025,ERS1286110,ERR1560025.fastq.gz,,
ERR1560093,ERS1286194,ERR1560093.fastq.gz,,
ERR1560094,ERS1286195,ERR1560094.fastq.gz,,
ERR1560095,ERS1286196,ERR1560095.fastq.gz,,
ERR1560096,ERS1286197,ERR1560096.fastq.gz,,
ERR1560097,ERS1286198,ERR1560097.fastq.gz,,
ERR1560098,ERS1286199,ERR1560098.fastq.gz,,
ERR1560099,ERS1286200,ERR1560099.fastq.gz,,
ERR1560100,ERS1286201,ERR1560100.fastq.gz,,
ERR1560101,ERS1286202,ERR1560101.fastq.gz,,
ERR1560102,ERS1286203,ERR1560102.fastq.gz,,
ERR1560103,ERS1286204,ERR1560103.fastq.gz,,
ERR1560104,ERS1286205,ERR1560104.fastq.gz,,
ERR1560105,ERS1286206,ERR1560105.fastq.gz,,
ERR1560106,ERS1286207,ERR1560106.fastq.gz,,
ERR1560107,ERS1286208,ERR1560107.fastq.gz,,
ERR1560108,ERS1286209,ERR1560108.fastq.gz,,
ERR1560109,ERS1286210,ERR1560109.fastq.gz,,
ERR1560110,ERS1286211,ERR1560110.fastq.gz,,
ERR567364,ERS510180,ERR567364.fastq.gz,,
ERR567365,ERS510181,ERR567365.fastq.gz,,
ERR567366,ERS510182,ERR567366.fastq.gz,,
ERR567367,ERS510183,ERR567367.fastq.gz,,
ERR1688760,ERS1280178,ERR1688760.fastq.gz,,
ERR1688761,ERS1280179,ERR1688761.fastq.gz,,
ERR1688762,ERS1280180,ERR1688762.fastq.gz,,
ERR1688764,ERS1280182,ERR1688764.fastq.gz,,
ERR1688765,ERS1280183,ERR1688765.fastq.gz,,
ERR1688768,ERS1280186,ERR1688768.fastq.gz,,
ERR1688769,ERS1280187,ERR1688769.fastq.gz,,
ERR1688771,ERS1280189,ERR1688771.fastq.gz,,
ERR1688772,ERS1280190,ERR1688772.fastq.gz,,
ERR1688775,ERS1280193,ERR1688775.fastq.gz,,
ERR1688747,ERS1280165,ERR1688747.fastq.gz,,
ERR1688749,ERS1280167,ERR1688749.fastq.gz,,
ERR1688750,ERS1280168,ERR1688750.fastq.gz,,
ERR1688752,ERS1280170,ERR1688752.fastq.gz,,
ERR1688754,ERS1280172,ERR1688754.fastq.gz,,
ERR1688756,ERS1280174,ERR1688756.fastq.gz,,
ERR1688758,ERS1280176,ERR1688758.fastq.gz,,
ERR1688788,ERS1280206,ERR1688788.fastq.gz,,
ERR1688789,ERS1280207,ERR1688789.fastq.gz,,
ERR1688791,ERS1280209,ERR1688791.fastq.gz,,
ERR1688793,ERS1280211,ERR1688793.fastq.gz,,
ERR1688797,ERS1280215,ERR1688797.fastq.gz,,
ERR1688796,ERS1280214,ERR1688796.fastq.gz,,
ERR1688799,ERS1280217,ERR1688799.fastq.gz,,
ERR1688802,ERS1280220,ERR1688802.fastq.gz,,
ERR1688803,ERS1280221,ERR1688803.fastq.gz,,
ERR1688804,ERS1280222,ERR1688804.fastq.gz,,
ERR1688778,ERS1280196,ERR1688778.fastq.gz,,
ERR1688780,ERS1280198,ERR1688780.fastq.gz,,
ERR1688782,ERS1280200,ERR1688782.fastq.gz,,
ERR1688784,ERS1280202,ERR1688784.fastq.gz,,
ERR1688785,ERS1280203,ERR1688785.fastq.gz,,
ERR1688809,ERS1280227,ERR1688809.fastq.gz,,
ERR1688808,ERS1280226,ERR1688808.fastq.gz,,
ERR1688810,ERS1280228,ERR1688810.fastq.gz,,
ERR6024164,ERS6590040,ERR6024164.fastq.gz,,
