sample,group,short_reads_1,short_reads_2,longs_reads
ERR3761404,ERS4181279,ERR3761404_1.fastq.gz,ERR3761404_2.fastq.gz,
ERR3761405,ERS4181280,ERR3761405_1.fastq.gz,ERR3761405_2.fastq.gz,
ERR3761406,ERS4181281,ERR3761406_1.fastq.gz,ERR3761406_2.fastq.gz,
ERR1883486,ERS1600793,ERR1883486.fastq.gz,ERR1883486_1.fastq.gz,
ERR1883430,ERS1600737,ERR1883430.fastq.gz,ERR1883430_1.fastq.gz,
ERR1883436,ERS1600743,ERR1883436.fastq.gz,ERR1883436_1.fastq.gz,
ERR1883438,ERS1600745,ERR1883438.fastq.gz,ERR1883438_1.fastq.gz,
ERR1883477,ERS1600784,ERR1883477.fastq.gz,ERR1883477_1.fastq.gz,
ERR1883478,ERS1600785,ERR1883478.fastq.gz,ERR1883478_1.fastq.gz,
ERR1883479,ERS1600786,ERR1883479.fastq.gz,ERR1883479_1.fastq.gz,
ERR1883480,ERS1600787,ERR1883480.fastq.gz,ERR1883480_1.fastq.gz,
ERR1883418,ERS1600725,ERR1883418.fastq.gz,ERR1883418_1.fastq.gz,
ERR1883419,ERS1600726,ERR1883419.fastq.gz,ERR1883419_1.fastq.gz,
ERR1883420,ERS1600727,ERR1883420.fastq.gz,ERR1883420_1.fastq.gz,
ERR1883421,ERS1600728,ERR1883421.fastq.gz,ERR1883421_1.fastq.gz,
ERR1883422,ERS1600729,ERR1883422.fastq.gz,ERR1883422_1.fastq.gz,
ERR1883423,ERS1600730,ERR1883423.fastq.gz,ERR1883423_1.fastq.gz,
ERR1883424,ERS1600731,ERR1883424.fastq.gz,ERR1883424_1.fastq.gz,
ERR1883427,ERS1600734,ERR1883427.fastq.gz,ERR1883427_1.fastq.gz,
ERR1883429,ERS1600736,ERR1883429.fastq.gz,ERR1883429_1.fastq.gz,
ERR1883432,ERS1600739,ERR1883432.fastq.gz,ERR1883432_1.fastq.gz,
ERR1883434,ERS1600741,ERR1883434.fastq.gz,ERR1883434_1.fastq.gz,
ERR1883435,ERS1600742,ERR1883435.fastq.gz,ERR1883435_1.fastq.gz,
ERR1883444,ERS1600751,ERR1883444.fastq.gz,ERR1883444_1.fastq.gz,
ERR1883464,ERS1600771,ERR1883464.fastq.gz,ERR1883464_1.fastq.gz,
ERR1883471,ERS1600778,ERR1883471.fastq.gz,ERR1883471_1.fastq.gz,
ERR1883472,ERS1600779,ERR1883472.fastq.gz,ERR1883472_1.fastq.gz,
ERR1883476,ERS1600783,ERR1883476.fastq.gz,ERR1883476_1.fastq.gz,
ERR1883448,ERS1600755,ERR1883448.fastq.gz,ERR1883448_1.fastq.gz,
ERR1883447,ERS1600754,ERR1883447.fastq.gz,ERR1883447_1.fastq.gz,
ERR1883446,ERS1600753,ERR1883446.fastq.gz,ERR1883446_1.fastq.gz,
ERR1883445,ERS1600752,ERR1883445.fastq.gz,ERR1883445_1.fastq.gz,
ERR1883443,ERS1600750,ERR1883443.fastq.gz,ERR1883443_1.fastq.gz,
ERR1883441,ERS1600748,ERR1883441.fastq.gz,ERR1883441_1.fastq.gz,
ERR1883481,ERS1600788,ERR1883481.fastq.gz,ERR1883481_1.fastq.gz,
ERR1883483,ERS1600790,ERR1883483.fastq.gz,ERR1883483_1.fastq.gz,
ERR1883482,ERS1600789,ERR1883482.fastq.gz,ERR1883482_1.fastq.gz,
ERR1883484,ERS1600791,ERR1883484.fastq.gz,ERR1883484_1.fastq.gz,
ERR1883485,ERS1600792,ERR1883485.fastq.gz,ERR1883485_1.fastq.gz,
ERR1883487,ERS1600794,ERR1883487.fastq.gz,ERR1883487_1.fastq.gz,
ERR1883453,ERS1600760,ERR1883453.fastq.gz,ERR1883453_1.fastq.gz,
ERR1883454,ERS1600761,ERR1883454.fastq.gz,ERR1883454_1.fastq.gz,
ERR1883455,ERS1600762,ERR1883455.fastq.gz,ERR1883455_1.fastq.gz,
ERR1883456,ERS1600763,ERR1883456.fastq.gz,ERR1883456_1.fastq.gz,
ERR1883457,ERS1600764,ERR1883457.fastq.gz,ERR1883457_1.fastq.gz,
ERR1883458,ERS1600765,ERR1883458.fastq.gz,ERR1883458_1.fastq.gz,
ERR1883459,ERS1600766,ERR1883459.fastq.gz,ERR1883459_1.fastq.gz,
ERR1883460,ERS1600767,ERR1883460.fastq.gz,ERR1883460_1.fastq.gz,
ERR1883461,ERS1600768,ERR1883461.fastq.gz,ERR1883461_1.fastq.gz,
ERR1883405,ERS1600712,ERR1883405.fastq.gz,ERR1883405_1.fastq.gz,
ERR1883406,ERS1600713,ERR1883406.fastq.gz,ERR1883406_1.fastq.gz,
ERR1883407,ERS1600714,ERR1883407.fastq.gz,ERR1883407_1.fastq.gz,
ERR1883408,ERS1600715,ERR1883408.fastq.gz,ERR1883408_1.fastq.gz,
ERR1883409,ERS1600716,ERR1883409.fastq.gz,ERR1883409_1.fastq.gz,
ERR1883410,ERS1600717,ERR1883410.fastq.gz,ERR1883410_1.fastq.gz,
ERR1883411,ERS1600718,ERR1883411.fastq.gz,ERR1883411_1.fastq.gz,
ERR1883412,ERS1600719,ERR1883412.fastq.gz,ERR1883412_1.fastq.gz,
ERR1883413,ERS1600720,ERR1883413.fastq.gz,ERR1883413_1.fastq.gz,
ERR1883414,ERS1600721,ERR1883414.fastq.gz,ERR1883414_1.fastq.gz,
ERR1883415,ERS1600722,ERR1883415.fastq.gz,ERR1883415_1.fastq.gz,
ERR1883440,ERS1600747,ERR1883440.fastq.gz,ERR1883440_1.fastq.gz,
ERR1883439,ERS1600746,ERR1883439.fastq.gz,ERR1883439_1.fastq.gz,
ERR1883437,ERS1600744,ERR1883437.fastq.gz,ERR1883437_1.fastq.gz,
ERR1883433,ERS1600740,ERR1883433.fastq.gz,ERR1883433_1.fastq.gz,
ERR1883431,ERS1600738,ERR1883431.fastq.gz,ERR1883431_1.fastq.gz,
ERR1883428,ERS1600735,ERR1883428.fastq.gz,ERR1883428_1.fastq.gz,
ERR1883426,ERS1600733,ERR1883426.fastq.gz,ERR1883426_1.fastq.gz,
ERR1883449,ERS1600756,ERR1883449.fastq.gz,ERR1883449_1.fastq.gz,
ERR1883450,ERS1600757,ERR1883450.fastq.gz,ERR1883450_1.fastq.gz,
ERR1883451,ERS1600758,ERR1883451.fastq.gz,ERR1883451_1.fastq.gz,
ERR1883452,ERS1600759,ERR1883452.fastq.gz,ERR1883452_1.fastq.gz,
ERR1883442,ERS1600749,ERR1883442.fastq.gz,ERR1883442_1.fastq.gz,
ERR1883425,ERS1600732,ERR1883425.fastq.gz,ERR1883425_1.fastq.gz,
ERR1883403,ERS1600710,ERR1883403.fastq.gz,ERR1883403_1.fastq.gz,
ERR1883404,ERS1600711,ERR1883404.fastq.gz,ERR1883404_1.fastq.gz,
ERR1883462,ERS1600769,ERR1883462.fastq.gz,ERR1883462_1.fastq.gz,
ERR1883463,ERS1600770,ERR1883463.fastq.gz,ERR1883463_1.fastq.gz,
ERR1883465,ERS1600772,ERR1883465.fastq.gz,ERR1883465_1.fastq.gz,
ERR1883466,ERS1600773,ERR1883466.fastq.gz,ERR1883466_1.fastq.gz,
ERR1883467,ERS1600774,ERR1883467.fastq.gz,ERR1883467_1.fastq.gz,
ERR1883468,ERS1600775,ERR1883468.fastq.gz,ERR1883468_1.fastq.gz,
ERR1883469,ERS1600776,ERR1883469.fastq.gz,ERR1883469_1.fastq.gz,
ERR1883470,ERS1600777,ERR1883470.fastq.gz,ERR1883470_1.fastq.gz,
ERR1883473,ERS1600780,ERR1883473.fastq.gz,ERR1883473_1.fastq.gz,
ERR1883474,ERS1600781,ERR1883474.fastq.gz,ERR1883474_1.fastq.gz,
ERR1883475,ERS1600782,ERR1883475.fastq.gz,ERR1883475_1.fastq.gz,
ERR1883416,ERS1600723,ERR1883416.fastq.gz,ERR1883416_1.fastq.gz,
ERR1883417,ERS1600724,ERR1883417.fastq.gz,ERR1883417_1.fastq.gz,
ERR3459717,ERS3605424,ERR3459717_1.fastq.gz,ERR3459717_2.fastq.gz,
ERR3459718,ERS3605425,ERR3459718_1.fastq.gz,ERR3459718_2.fastq.gz,
ERR3459719,ERS3605426,ERR3459719_1.fastq.gz,ERR3459719_2.fastq.gz,
ERR3459720,ERS3605427,ERR3459720_1.fastq.gz,ERR3459720_2.fastq.gz,
ERR3459721,ERS3605428,ERR3459721_1.fastq.gz,ERR3459721_2.fastq.gz,
ERR3459722,ERS3605429,ERR3459722_1.fastq.gz,ERR3459722_2.fastq.gz,
ERR3459723,ERS3605430,ERR3459723_1.fastq.gz,ERR3459723_2.fastq.gz,
ERR3459724,ERS3605431,ERR3459724_1.fastq.gz,ERR3459724_2.fastq.gz,
ERR3459725,ERS3605438,ERR3459725_1.fastq.gz,ERR3459725_2.fastq.gz,
ERR3459726,ERS3605439,ERR3459726_1.fastq.gz,ERR3459726_2.fastq.gz,
ERR3459727,ERS3605440,ERR3459727_1.fastq.gz,ERR3459727_2.fastq.gz,
ERR3459728,ERS3605441,ERR3459728_1.fastq.gz,ERR3459728_2.fastq.gz,
ERR3459729,ERS3605444,ERR3459729_1.fastq.gz,ERR3459729_2.fastq.gz,
ERR3459730,ERS3605445,ERR3459730_1.fastq.gz,ERR3459730_2.fastq.gz,
ERR3459731,ERS3605446,ERR3459731_1.fastq.gz,ERR3459731_2.fastq.gz,
ERR3459732,ERS3605447,ERR3459732_1.fastq.gz,ERR3459732_2.fastq.gz,
ERR3459733,ERS3605448,ERR3459733_1.fastq.gz,ERR3459733_2.fastq.gz,
ERR3459734,ERS3605449,ERR3459734_1.fastq.gz,ERR3459734_2.fastq.gz,
ERR3459735,ERS3605450,ERR3459735_1.fastq.gz,ERR3459735_2.fastq.gz,
ERR3459736,ERS3605451,ERR3459736_1.fastq.gz,ERR3459736_2.fastq.gz,
ERR3459737,ERS3605452,ERR3459737_1.fastq.gz,ERR3459737_2.fastq.gz,
ERR3459738,ERS3605453,ERR3459738_1.fastq.gz,ERR3459738_2.fastq.gz,
ERR3459739,ERS3605454,ERR3459739_1.fastq.gz,ERR3459739_2.fastq.gz,
