sample,group,short_reads_1,short_reads_2,longs_reads
SRR20576765,SRS14235623,SRR20576765_1.fastq.gz,SRR20576765_2.fastq.gz,
SRR20576766,SRS14235622,SRR20576766_1.fastq.gz,SRR20576766_2.fastq.gz,
SRR20576767,SRS14235621,SRR20576767_1.fastq.gz,SRR20576767_2.fastq.gz,
SRR20576768,SRS14235620,SRR20576768_1.fastq.gz,SRR20576768_2.fastq.gz,
SRR20576769,SRS14235619,SRR20576769_1.fastq.gz,SRR20576769_2.fastq.gz,
SRR20576770,SRS14235618,SRR20576770_1.fastq.gz,SRR20576770_2.fastq.gz,
SRR20576771,SRS14235617,SRR20576771_1.fastq.gz,SRR20576771_2.fastq.gz,
SRR20576772,SRS14235616,SRR20576772_1.fastq.gz,SRR20576772_2.fastq.gz,
SRR20576773,SRS14235615,SRR20576773_1.fastq.gz,SRR20576773_2.fastq.gz,
SRR20576774,SRS14235614,SRR20576774_1.fastq.gz,SRR20576774_2.fastq.gz,
SRR20576775,SRS14235613,SRR20576775_1.fastq.gz,SRR20576775_2.fastq.gz,
SRR20576776,SRS14235612,SRR20576776_1.fastq.gz,SRR20576776_2.fastq.gz,
SRR20576779,SRS14235609,SRR20576779_1.fastq.gz,SRR20576779_2.fastq.gz,
SRR20576780,SRS14235608,SRR20576780_1.fastq.gz,SRR20576780_2.fastq.gz,
SRR20576781,SRS14235607,SRR20576781_1.fastq.gz,SRR20576781_2.fastq.gz,
SRR20576782,SRS14235606,SRR20576782_1.fastq.gz,SRR20576782_2.fastq.gz,
SRR20576783,SRS14235605,SRR20576783_1.fastq.gz,SRR20576783_2.fastq.gz,
SRR20576784,SRS14235604,SRR20576784_1.fastq.gz,SRR20576784_2.fastq.gz,
SRR20576785,SRS14235603,SRR20576785_1.fastq.gz,SRR20576785_2.fastq.gz,
SRR20576786,SRS14235602,SRR20576786_1.fastq.gz,SRR20576786_2.fastq.gz,
SRR20576787,SRS14235601,SRR20576787_1.fastq.gz,SRR20576787_2.fastq.gz,
SRR20576794,SRS14235594,SRR20576794_1.fastq.gz,SRR20576794_2.fastq.gz,
SRR20576795,SRS14235592,SRR20576795_1.fastq.gz,SRR20576795_2.fastq.gz,
SRR20576796,SRS14235593,SRR20576796_1.fastq.gz,SRR20576796_2.fastq.gz,
SRR20576797,SRS14235591,SRR20576797_1.fastq.gz,SRR20576797_2.fastq.gz,
SRR20576798,SRS14235590,SRR20576798_1.fastq.gz,SRR20576798_2.fastq.gz,
SRR20576799,SRS14235589,SRR20576799_1.fastq.gz,SRR20576799_2.fastq.gz,
SRR20576800,SRS14235588,SRR20576800_1.fastq.gz,SRR20576800_2.fastq.gz,
SRR20576802,SRS14235586,SRR20576802_1.fastq.gz,SRR20576802_2.fastq.gz,
SRR20576803,SRS14235585,SRR20576803_1.fastq.gz,SRR20576803_2.fastq.gz,
SRR20576805,SRS14235583,SRR20576805_1.fastq.gz,SRR20576805_2.fastq.gz,
SRR20576807,SRS14235581,SRR20576807_1.fastq.gz,SRR20576807_2.fastq.gz,
SRR20576808,SRS14235580,SRR20576808_1.fastq.gz,SRR20576808_2.fastq.gz,
SRR20576809,SRS14235579,SRR20576809_1.fastq.gz,SRR20576809_2.fastq.gz,
SRR20576811,SRS14235576,SRR20576811_1.fastq.gz,SRR20576811_2.fastq.gz,
SRR20576812,SRS14235577,SRR20576812_1.fastq.gz,SRR20576812_2.fastq.gz,
SRR20576813,SRS14235575,SRR20576813_1.fastq.gz,SRR20576813_2.fastq.gz,
SRR20576814,SRS14235573,SRR20576814_1.fastq.gz,SRR20576814_2.fastq.gz,
SRR20576815,SRS14235572,SRR20576815_1.fastq.gz,SRR20576815_2.fastq.gz,
SRR20576816,SRS14235574,SRR20576816_1.fastq.gz,SRR20576816_2.fastq.gz,
SRR20576817,SRS14235571,SRR20576817_1.fastq.gz,SRR20576817_2.fastq.gz,
ERR9690357,ERS5929364,ERR9690357_1.fastq.gz,ERR9690357_2.fastq.gz,
ERR9690362,ERS5929364,ERR9690362_1.fastq.gz,ERR9690362_2.fastq.gz,
ERR9690359,ERS5929362,ERR9690359_1.fastq.gz,ERR9690359_2.fastq.gz,
ERR9690364,ERS5929362,ERR9690364_1.fastq.gz,ERR9690364_2.fastq.gz,
ERR9690360,ERS5929361,ERR9690360_1.fastq.gz,ERR9690360_2.fastq.gz,
ERR9690365,ERS5929361,ERR9690365_1.fastq.gz,ERR9690365_2.fastq.gz,
ERR9690361,ERS5929360,ERR9690361_1.fastq.gz,ERR9690361_2.fastq.gz,
ERR9690366,ERS5929360,ERR9690366_1.fastq.gz,ERR9690366_2.fastq.gz,
ERR9690358,ERS5929363,ERR9690358_1.fastq.gz,ERR9690358_2.fastq.gz,
ERR9690363,ERS5929363,ERR9690363_1.fastq.gz,ERR9690363_2.fastq.gz,
ERR4334727,ERS4817944,ERR4334727_1.fastq.gz,ERR4334727_2.fastq.gz,
ERR4334728,ERS4817945,ERR4334728_1.fastq.gz,ERR4334728_2.fastq.gz,
ERR3804373,ERS4230023,ERR3804373_1.fastq.gz,ERR3804373_2.fastq.gz,
ERR3804374,ERS4230024,ERR3804374_1.fastq.gz,ERR3804374_2.fastq.gz,
ERR4334729,ERS4817946,ERR4334729_1.fastq.gz,ERR4334729_2.fastq.gz,
ERR4334730,ERS4817947,ERR4334730_1.fastq.gz,ERR4334730_2.fastq.gz,
ERR3804375,ERS4230025,ERR3804375_1.fastq.gz,ERR3804375_2.fastq.gz,
ERR3804376,ERS4230026,ERR3804376_1.fastq.gz,ERR3804376_2.fastq.gz,
ERR4334731,ERS4817948,ERR4334731_1.fastq.gz,ERR4334731_2.fastq.gz,
ERR4334732,ERS4817949,ERR4334732_1.fastq.gz,ERR4334732_2.fastq.gz,
ERR3804377,ERS4230027,ERR3804377_1.fastq.gz,ERR3804377_2.fastq.gz,
ERR3804378,ERS4230028,ERR3804378.fastq.gz,ERR3804378_1.fastq.gz,
ERR4334733,ERS4817950,ERR4334733_1.fastq.gz,ERR4334733_2.fastq.gz,
ERR4334734,ERS4817951,ERR4334734_1.fastq.gz,ERR4334734_2.fastq.gz,
ERR4334735,ERS4817952,ERR4334735_1.fastq.gz,ERR4334735_2.fastq.gz,
ERR4334736,ERS4817953,ERR4334736_1.fastq.gz,ERR4334736_2.fastq.gz,
SRR7774471,SRS3730742,SRR7774471_1.fastq.gz,SRR7774471_2.fastq.gz,
SRR7774470,SRS3730743,SRR7774470_1.fastq.gz,SRR7774470_2.fastq.gz,
SRR7774477,SRS3730737,SRR7774477_1.fastq.gz,SRR7774477_2.fastq.gz,
SRR7774473,SRS3730740,SRR7774473_1.fastq.gz,SRR7774473_2.fastq.gz,
SRR7774475,SRS3730736,SRR7774475_1.fastq.gz,SRR7774475_2.fastq.gz,
SRR7774472,SRS3730741,SRR7774472_1.fastq.gz,SRR7774472_2.fastq.gz,
SRR7774478,SRS3730735,SRR7774478_1.fastq.gz,SRR7774478_2.fastq.gz,
SRR7774479,SRS3730734,SRR7774479_1.fastq.gz,SRR7774479_2.fastq.gz,
SRR7774474,SRS3730739,SRR7774474_1.fastq.gz,SRR7774474_2.fastq.gz,
SRR7774476,SRS3730738,SRR7774476_1.fastq.gz,SRR7774476_2.fastq.gz,
SRR7774469,SRS3730744,SRR7774469_1.fastq.gz,SRR7774469_2.fastq.gz,
SRR17651673,SRS11699675,SRR17651673_1.fastq.gz,SRR17651673_2.fastq.gz,
SRR17651674,SRS11699673,SRR17651674_1.fastq.gz,SRR17651674_2.fastq.gz,
SRR17651684,SRS11699663,SRR17651684_1.fastq.gz,SRR17651684_2.fastq.gz,
SRR17651695,SRS11699654,SRR17651695_1.fastq.gz,SRR17651695_2.fastq.gz,
SRR17651696,SRS11699652,SRR17651696_1.fastq.gz,SRR17651696_2.fastq.gz,
SRR17651668,SRS11699679,SRR17651668_1.fastq.gz,SRR17651668_2.fastq.gz,
SRR17651669,SRS11699680,SRR17651669_1.fastq.gz,SRR17651669_2.fastq.gz,
SRR17651670,SRS11699678,SRR17651670_1.fastq.gz,SRR17651670_2.fastq.gz,
SRR17651671,SRS11699677,SRR17651671_1.fastq.gz,SRR17651671_2.fastq.gz,
SRR17651672,SRS11699676,SRR17651672_1.fastq.gz,SRR17651672_2.fastq.gz,
SRR17651690,SRS11699658,SRR17651690_1.fastq.gz,SRR17651690_2.fastq.gz,
SRR17651691,SRS11699656,SRR17651691_1.fastq.gz,SRR17651691_2.fastq.gz,
SRR17651692,SRS11699657,SRR17651692_1.fastq.gz,SRR17651692_2.fastq.gz,
SRR17651693,SRS11699655,SRR17651693_1.fastq.gz,SRR17651693_2.fastq.gz,
SRR17651694,SRS11699653,SRR17651694_1.fastq.gz,SRR17651694_2.fastq.gz,
SRR17651685,SRS11699664,SRR17651685_1.fastq.gz,SRR17651685_2.fastq.gz,
SRR17651686,SRS11699662,SRR17651686_1.fastq.gz,SRR17651686_2.fastq.gz,
SRR17651687,SRS11699660,SRR17651687_1.fastq.gz,SRR17651687_2.fastq.gz,
SRR17651688,SRS11699661,SRR17651688_1.fastq.gz,SRR17651688_2.fastq.gz,
SRR17651689,SRS11699659,SRR17651689_1.fastq.gz,SRR17651689_2.fastq.gz,
